date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:41	4568/4568	---M--	200	added ('OK')	font/woff2	etag:%226ddaf31a1e0e05490f6919cbb3347e9d%22	https://tapsi-react.vercel.app/_next/static/media/fa-v4compatibility.3d89958e.woff2	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/media/fa-v4compatibility.3d89958e.woff2	(from https://tapsi-react.vercel.app/_next/static/css/99b59f57a2f9ad5f.css)
18:13:42	10140/10140	---MCZ	200	added ('OK')	font/ttf	etag:W/%2236818ecc50af8ea6c4cbef88d0b2baad%22	https://tapsi-react.vercel.app/_next/static/media/fa-v4compatibility.2484748d.ttf	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/media/fa-v4compatibility.2484748d.ttf	(from https://tapsi-react.vercel.app/_next/static/css/99b59f57a2f9ad5f.css)
18:13:42	1238/1238	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fb962c6682add857f726a9e3f77eda2c%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-01-a916c6a5de7870cf.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-01-a916c6a5de7870cf.js	(from https://tapsi-react.vercel.app/index-01)
18:13:42	1365/1365	---MCZ	200	added ('OK')	application/javascript	etag:W/%2277fcc9d4b7da1938853af442a1a11e55%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-01-light-30f275680a1a9b5e.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-01-light-30f275680a1a9b5e.js	(from https://tapsi-react.vercel.app/index-01-light)
18:13:43	6430/6430	---MCZ	200	added ('OK')	application/javascript	etag:W/%229d0947cb5cd331d5adb8dcad8eea232d%22	https://tapsi-react.vercel.app/_next/static/chunks/997-eb0b638121dbd4bb.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/997-eb0b638121dbd4bb.js	(from https://tapsi-react.vercel.app/index-02)
18:13:43	1241/1241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22169c64f320a2d4ae67432842a8c23029%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-02-5ab4b4cf95fee098.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-02-5ab4b4cf95fee098.js	(from https://tapsi-react.vercel.app/index-02)
18:13:43	1246/1246	---MCZ	200	added ('OK')	application/javascript	etag:W/%22899660d91eaabe2ae053bbdde9c0b40d%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-02-light-ea204316ea8b82fb.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-02-light-ea204316ea8b82fb.js	(from https://tapsi-react.vercel.app/index-02-light)
18:13:44	1244/1244	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed54c1fe1ad80b4fe24c2cd4af38a2e7%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-02-dark-16695cf3a4469a32.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-02-dark-16695cf3a4469a32.js	(from https://tapsi-react.vercel.app/index-02-dark)
18:13:44	6463/6463	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f57e0f78aa8607efb0ae048045f3a5b%22	https://tapsi-react.vercel.app/_next/static/chunks/78-d05169f3da9cc85b.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/78-d05169f3da9cc85b.js	(from https://tapsi-react.vercel.app/index-03)
18:13:44	1139/1139	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da97a26cc552a85d5b59d9a6fe396238%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-03-0a135127a743cb66.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-03-0a135127a743cb66.js	(from https://tapsi-react.vercel.app/index-03)
18:13:44	306228/306228	---M--	200	added ('OK')	image/png	etag:%22eb195677a2e846db4354fb5195f6e735%22	https://tapsi-react.vercel.app/assets/img/bg-effect-1.png	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/assets/img/bg-effect-1.png	(from https://tapsi-react.vercel.app/index-03)
18:13:45	1224/1224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c0ce64bda68e560399bcb6ae0a7da824%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-03-light-87b65f81051d0e95.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-03-light-87b65f81051d0e95.js	(from https://tapsi-react.vercel.app/index-03-light)
18:13:45	1225/1225	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b4045d352684586e56ea7e2c54cdd018%22	https://tapsi-react.vercel.app/_next/static/chunks/pages/index-03-dark-d32f65201d3f2407.js	C:/My%20Web%20Sites/project/tapsi-react.vercel.app/_next/static/chunks/pages/index-03-dark-d32f65201d3f2407.js	(from https://tapsi-react.vercel.app/index-03-dark)
